timestamp,pitch,y_pos,z_pos,o2_level,o2_leak_rate,co2_level,net_power,total_drain,solar_input,is_scrubber_on,is_engine_on,is_anomaly
7,141.03508518895165,-0.012173530204956286,-0.03837048866955138,99.97199999999997,1,456.0,8699.99790013977,2500.0,11199.99790013977,0,1,0
8,141.0346004056054,-0.00990489335404578,-0.029998924992332726,99.96799999999996,1,464.0,8699.997957767757,2500.0,11199.997957767757,0,1,0
9,141.02158794390547,-0.0067618655946717135,-0.024302405360915894,99.96399999999996,1,472.0,8699.999205003312,2500.0,11199.999205003312,0,1,0
10,141.02111068548118,-0.0026775349452332637,-0.017323401559685175,99.95999999999995,1,480.0,8699.999239765755,2500.0,11199.999239765755,0,1,0
11,141.00196603743416,-0.008662198906692741,-0.025953176488834172,99.95599999999995,1,488.0,8699.999993406343,2500.0,11199.999993406343,0,1,0
12,141.00761230182238,-0.017499635551073853,-0.023258373000342357,99.95199999999994,1,496.0,8699.999901150437,2500.0,11199.999901150437,0,1,0
13,141.01770836771158,-0.016867778513861703,-0.027631149100267625,99.94799999999994,1,504.0,8699.999465066468,2500.0,11199.999465066468,0,1,0
14,141.02128787746508,-0.020509997535956778,-0.018579715365547436,99.94399999999993,1,512.0,8699.999226950185,2500.0,11199.999226950185,0,1,0
15,141.02776126619676,-0.024742107300575647,-0.022298799276933148,99.93999999999993,1,520.0,8699.99868531625,2500.0,11199.99868531625,0,1,0
16,141.03602916625826,-0.027335869028499334,-0.017240505973826002,99.93599999999992,1,528.0,8699.997785624986,2500.0,11199.997785624986,0,1,0
17,141.02476865817374,-0.017899278949500393,-0.007648967645442166,99.93199999999992,1,536.0,8699.998953479559,2500.0,11199.998953479559,0,1,0
18,141.02246834763218,-0.02591883857533128,-0.015566549708101583,99.92799999999991,1,544.0,8699.999138837666,2500.0,11199.999138837666,0,1,0
19,141.02140087636218,-0.028159791580451447,-0.019529857948223428,99.92399999999991,1,552.0,8699.9992187215,2500.0,11199.9992187215,0,1,0
20,141.04070012022635,-0.031507611600566005,-0.028957297153306236,99.9199999999999,1,560.0,8699.99717424745,2500.0,11199.99717424745,0,1,0
21,141.05408448668857,-0.03717949098603693,-0.02197913648275001,99.9159999999999,1,568.0,8699.995010142371,2500.0,11199.995010142371,0,1,0
22,141.05620112166937,-0.0350596337556397,-0.01882913550550558,99.91199999999989,1,576.0,8699.994611936638,2500.0,11199.994611936638,0,1,0
23,141.06967602462558,-0.03818387748246892,-0.02653993066994206,99.90799999999989,1,584.0,8699.99171849179,2500.0,11199.99171849179,0,1,0
24,141.08639698558846,-0.036239950738601104,-0.03572016346314907,99.90399999999988,1,592.0,8699.98726673258,2500.0,11199.98726673258,0,1,0
25,141.091082789134,-0.029875123237139034,-0.035557052379052184,99.89999999999988,1,600.0,8699.985848081691,2500.0,11199.985848081691,0,1,0
26,141.07412473578214,-0.03800420874940086,-0.036954505079008805,99.89599999999987,1,608.0,8699.990627207158,2500.0,11199.990627207158,0,1,0
27,141.08846936277763,-0.038385596488235744,-0.04562371599149403,99.89199999999987,1,616.0,8699.986648548753,2500.0,11199.986648548753,0,1,0
28,141.09827839766584,-0.0481845497921503,-0.035695654816346546,99.88799999999986,1,624.0,8699.983523734183,2500.0,11199.983523734183,0,1,0
29,141.0841017719306,-0.04052349092740316,-0.03548652178717235,99.88399999999986,1,632.0,8699.987934287405,2500.0,11199.987934287405,0,1,0
30,141.09780758291433,-0.0429076611223566,-0.038574877524783696,99.87999999999985,1,640.0,8699.98368121917,2500.0,11199.98368121917,0,1,0
31,141.10648222993007,-0.04361648898471426,-0.0481092232348436,99.87599999999985,1,648.0,8699.980658198936,2500.0,11199.980658198936,0,1,0
32,141.11851884793654,-0.039754247776098914,-0.0502388189316341,99.87199999999984,1,656.0,8699.976038309744,2500.0,11199.976038309744,0,1,0
33,141.10028271848037,-0.03821948215283292,-0.05414504981868049,99.86799999999984,1,664.0,8699.982844837032,2500.0,11199.982844837032,0,1,0
34,141.1148652636401,-0.048042969860932525,-0.05506368370726059,99.86399999999983,1,672.0,8699.977492873899,2500.0,11199.977492873899,0,1,0
35,141.12888789008235,-0.04187626167491947,-0.05978801910287727,99.85999999999983,1,680.0,8699.971662155842,2500.0,11199.971662155842,0,1,0
36,141.14831265811443,-0.03354620401544518,-0.06676510477183151,99.85599999999982,1,688.0,8699.962476878742,2500.0,11199.962476878742,0,1,0
37,141.14735864614138,-0.029313591887934767,-0.06415581598573106,99.85199999999982,1,696.0,8699.96295805621,2500.0,11199.96295805621,0,1,0
38,141.13794034469268,-0.03861615855183877,-0.07126114016219381,99.84799999999981,1,704.0,8699.967541745122,2500.0,11199.967541745122,0,1,0
39,141.15361058570087,-0.033745596645868146,-0.06279750303226878,99.84399999999981,1,712.0,8699.959748247631,2500.0,11199.959748247631,0,1,0
40,141.1557086481636,-0.04248354369591946,-0.05778208482199186,99.8399999999998,1,720.0,8699.95864119677,2500.0,11199.95864119677,0,1,0
41,141.16612464813176,-0.046850185557196916,-0.055742798804577234,99.8359999999998,1,728.0,8699.952922801996,2500.0,11199.952922801996,0,1,0
42,141.1845230017208,-0.05629663718824434,-0.05603602348425063,99.8319999999998,1,736.0,8699.941917753109,2500.0,11199.941917753109,0,1,0
43,141.17882554623307,-0.06403182466247856,-0.057231153485033257,99.82799999999979,1,744.0,8699.945449148974,2500.0,11199.945449148974,0,1,0
44,141.1908225672572,-0.0678398514273628,-0.0527967789148969,99.82399999999978,1,752.0,8699.937884236244,2500.0,11199.937884236244,0,1,0
45,141.17502082387273,-0.07524286762582574,-0.06066626308251019,99.81999999999978,1,760.0,8699.947745719503,2500.0,11199.947745719503,0,1,0
46,141.17102191774472,-0.06668243595253069,-0.06568229037882083,99.81599999999978,1,768.0,8699.950106268696,2500.0,11199.950106268696,0,1,0
47,141.17711013776514,-0.06532701305277647,-0.07135492709610661,99.81199999999977,1,776.0,8699.946490701419,2500.0,11199.946490701419,0,1,0
48,141.17435228368888,-0.05855349610378401,-0.06603035071461817,99.80799999999977,1,784.0,8699.948144155967,2500.0,11199.948144155967,0,1,0
49,141.185942589561,-0.059231772629604704,-0.07562062940953893,99.80399999999976,1,792.0,8699.941020629773,2500.0,11199.941020629773,0,1,0
50,141.17302995894565,-0.06518078033029182,-0.07646472934337538,99.79999999999976,1,800.0,8699.948927744077,2500.0,11199.948927744077,0,1,0
51,141.16394498131228,-0.055317188411304674,-0.07948395597167061,99.79599999999975,1,808.0,8699.95415006556,2500.0,11199.95415006556,0,1,0
52,141.14892937487352,-0.05828112489676193,-0.08182478763879249,99.79199999999975,1,816.0,8699.962164171277,2500.0,11199.962164171277,0,1,0
53,141.16610598783328,-0.062251288609557066,-0.08761782182155049,99.78799999999974,1,824.0,8699.952933377483,2500.0,11199.952933377483,0,1,0
54,141.1609637013482,-0.06858863272406207,-0.09016322389418205,99.78399999999974,1,832.0,8699.955802431592,2500.0,11199.955802431592,0,1,0
55,141.14614259834136,-0.07445368680252559,-0.09591308862110468,99.77999999999973,1,840.0,8699.963566895793,2500.0,11199.963566895793,0,1,0
56,141.1492133970556,-0.07295484728243637,-0.08998393067917855,99.77599999999973,1,848.0,8699.962019720853,2500.0,11199.962019720853,0,1,0
57,141.160352652574,-0.08061507031360299,-0.09893794358996094,99.77199999999972,1,856.0,8699.956137359162,2500.0,11199.956137359162,0,1,0
58,141.15076164561054,-0.08823928049307941,-0.09452194012930928,99.76799999999972,1,864.0,8699.961227460226,2500.0,11199.961227460226,0,1,0
59,141.1564033055454,-0.09145836781864568,-0.09831223652630898,99.76399999999971,1,872.0,8699.958271348763,2500.0,11199.958271348763,0,1,0
60,141.16994813483936,-0.08536614903188491,-0.09916100673458053,99.7599999999997,1,880.0,8699.950730829672,2500.0,11199.950730829672,0,1,0
61,141.17409784678077,-0.07940720009480319,-0.10464244871383352,99.7559999999997,1,888.0,8699.948295394632,2500.0,11199.948295394632,0,1,0
62,141.17380113123022,-0.08531686029508298,-0.10346032812076215,99.7519999999997,1,896.0,8699.948471484982,2500.0,11199.948471484982,0,1,0
63,141.15732817141958,-0.08211175458947992,-0.10330729272992009,99.74799999999969,1,904.0,8699.957776378546,2500.0,11199.957776378546,0,1,0
64,141.15589589071226,-0.07773368907839745,-0.09499041558627727,99.74399999999969,1,912.0,8699.958541667564,2500.0,11199.958541667564,0,1,0
65,141.16439127472398,-0.07403904365999733,-0.10275735947758667,99.73999999999968,1,920.0,8699.953900099246,2500.0,11199.953900099246,0,1,0
66,141.1608618428122,-0.07045206403411754,-0.09553759571412676,99.73599999999968,1,928.0,8699.955858350688,2500.0,11199.955858350688,0,1,0
67,141.17580741849025,-0.08019979337198146,-0.09690530831797423,99.73199999999967,1,936.0,8699.94727497246,2500.0,11199.94727497246,0,1,0
68,141.1946932339081,-0.07628958827354372,-0.08768475057804234,99.72799999999967,1,944.0,8699.935338755027,2500.0,11199.935338755027,0,1,0
69,141.2104326323185,-0.0841348642141847,-0.09485894783777275,99.72399999999966,1,952.0,8699.92446148381,2500.0,11199.92446148381,0,1,0
70,141.21999735463334,-0.09309984012225091,-0.08787277748993956,99.71999999999966,1,960.0,8699.917438581515,2500.0,11199.917438581515,0,1,0
71,141.20720497622725,-0.08872947710852032,-0.08695310006166326,99.71599999999965,1,968.0,8699.926760958613,2500.0,11199.926760958613,0,1,0
72,141.21578449413397,-0.09323161652671035,-0.0808482832839042,99.71199999999965,1,976.0,8699.920570337606,2500.0,11199.920570337606,0,1,0
73,141.20967137210573,-0.08627527838727327,-0.07238181136313301,99.70799999999964,1,984.0,8699.92500703027,2500.0,11199.92500703027,0,1,0
74,141.22348650083524,-0.09433115219699711,-0.0750364345873661,99.70399999999964,1,992.0,8699.91479897823,2500.0,11199.91479897823,0,1,0
75,141.23730252079912,-0.094345579963284,-0.08107576342057518,99.69999999999963,1,1000.0,8699.903939057225,2500.0,11199.903939057225,0,1,0
76,141.24144105132183,-0.10337364665090162,-0.08493682825389862,99.69599999999963,1,998.0,8199.900559260217,3000.0,11199.900559260217,1,1,0
77,141.24888513249851,-0.10102472496023485,-0.08232611154025016,99.69199999999962,1,996.0,8199.89433285154,3000.0,11199.89433285154,1,1,0
78,141.23727956255996,-0.09160057826434559,-0.07792728225363361,99.68799999999962,1,994.0,8199.90395764346,3000.0,11199.90395764346,1,1,0
79,141.25613073058014,-0.08755401743868704,-0.07099223447047592,99.68399999999961,1,992.0,8199.888090896793,3000.0,11199.888090896793,1,1,0
80,141.2502412297767,-0.09256852771901491,-0.06719204071777339,99.67999999999961,1,990.0,8199.893178221793,3000.0,11199.893178221793,1,1,0
